date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:25	116480/116480	---MC-	200	added ('OK')	image/jpeg	etag:%22628cef6d-1c700%22	https://globonoticias.tech/wp-content/uploads/2022/05/PHOTO-2022-05-24-11-43-23.jpg	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/uploads/2022/05/PHOTO-2022-05-24-11-43-23.jpg	(from https://globonoticias.tech/adv95/)
17:57:26	196474/196474	---MC-	200	added ('OK')	image/png	etag:%22622cdc07-2ff7a%22	https://globonoticias.tech/wp-content/uploads/2022/03/Pele-rejuvenescimento-2-Google-1920w.png	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/uploads/2022/03/Pele-rejuvenescimento-2-Google-1920w.png	(from https://globonoticias.tech/adv95/)
17:57:26	52580/52580	---MC-	200	added ('OK')	image/jpeg	etag:%22622cdc0b-cd64%22	https://globonoticias.tech/wp-content/uploads/2022/03/anvisa2.jpg	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/uploads/2022/03/anvisa2.jpg	(from https://globonoticias.tech/adv95/)
17:57:26	1023624/1023624	---MC-	200	added ('OK')	image/png	etag:%226266f446-f9e88%22	https://globonoticias.tech/wp-content/uploads/2022/04/Design-sem-nome-28-2-1024x808.png	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/uploads/2022/04/Design-sem-nome-28-2-1024x808.png	(from https://globonoticias.tech/adv95/)
17:57:27	596554/596554	---MC-	200	added ('OK')	image/png	etag:%2262855a24-91a4a%22	https://globonoticias.tech/wp-content/uploads/2022/05/Design-sem-nome-59-1024x1024.png	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/uploads/2022/05/Design-sem-nome-59-1024x1024.png	(from https://globonoticias.tech/adv95/)
17:57:27	5351/5351	---MC-	200	added ('OK')	image/jpeg	etag:%22622cdf1d-14e7%22	https://globonoticias.tech/wp-content/uploads/2022/03/images.jpg	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/uploads/2022/03/images.jpg	(from https://globonoticias.tech/adv95/)
17:57:27	5358/5358	---MC-	200	added ('OK')	image/jpeg	etag:%22622cdf1d-14ee%22	https://globonoticias.tech/wp-content/uploads/2022/03/images-3.jpg	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/uploads/2022/03/images-3.jpg	(from https://globonoticias.tech/adv95/)
17:57:27	5718/5718	---MC-	200	added ('OK')	image/jpeg	etag:%22622cdf12-1656%22	https://globonoticias.tech/wp-content/uploads/2022/03/images-1.jpg	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/uploads/2022/03/images-1.jpg	(from https://globonoticias.tech/adv95/)
17:57:27	3609/3609	---MC-	200	added ('OK')	image/jpeg	etag:%22622cdf1c-e19%22	https://globonoticias.tech/wp-content/uploads/2022/03/images-2.jpg	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/uploads/2022/03/images-2.jpg	(from https://globonoticias.tech/adv95/)
17:57:28	52854/52854	---MC-	200	added ('OK')	image/png	etag:%22622cdc0c-ce76%22	https://globonoticias.tech/wp-content/uploads/2022/03/lateral-1920w.png	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/uploads/2022/03/lateral-1920w.png	(from https://globonoticias.tech/adv95/)
17:57:28	4957/4957	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373852-135d%22	https://globonoticias.tech/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.7.7	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/plugins/elementor/assets/js/webpack.runtime.minac9e.js	(from https://globonoticias.tech/adv95/)
17:57:28	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262ba14f2-15db1%22	https://globonoticias.tech/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-includes/js/jquery/jquery.minaf6c.js	(from https://globonoticias.tech/adv95/)
17:57:28	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262ba14f2-2bd8%22	https://globonoticias.tech/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://globonoticias.tech/adv95/)
17:57:29	32929/32929	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373852-80a1%22	https://globonoticias.tech/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.7.7	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/plugins/elementor/assets/js/frontend-modules.minac9e.js	(from https://globonoticias.tech/adv95/)
17:57:29	12198/12198	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373852-2fa6%22	https://globonoticias.tech/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://globonoticias.tech/adv95/)
17:57:29	20715/20715	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262ba14f2-50eb%22	https://globonoticias.tech/wp-includes/js/jquery/ui/core.min.js?ver=1.13.1	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-includes/js/jquery/ui/core.min0028.js	(from https://globonoticias.tech/adv95/)
17:57:30	40513/40513	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373852-9e41%22	https://globonoticias.tech/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.7.7	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/plugins/elementor/assets/js/frontend.minac9e.js	(from https://globonoticias.tech/adv95/)
17:57:30	28863173/28863173	---MC-	200	added ('OK')	image/gif	etag:%22626832da-1b86ac5%22	https://globonoticias.tech/wp-content/uploads/2022/04/IMG_1625.gif	C:/Meus%20Sites/G1%20reveravit%20adv/globonoticias.tech/wp-content/uploads/2022/04/IMG_1625.gif	(from https://globonoticias.tech/adv95/)
